SKU,Producto,Precio,Visibilidad,Imagen,Categoria,Stock,Tipo Descuento,Descuento,Destacado,Subcategoria,Categoria Original
Identificador Unico,nombre del producto,precio numero,"""si"" o ""no""",URL de imagen,Categoría (ver hoja Categorías),Máx por pedido (default: 10),"""monto"" o ""porcentaje""",Máx por pedido (default: 10),Aparece destacado,Subcategoria dentro de la categoria principal,Categoria anterior antes de la reorganizacion
OLM-000001,Vermouth La Fuerza," $19,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168870/olmos-bebidas/OLM-000001.jpg,Aperitivos y coctelería,1000,,,No,Vermouth,Vinos
OLM-000002,achaval ferrer," $19,000.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168871/olmos-bebidas/OLM-000002.png,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000003,ala colorada tannat," $16,800.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168873/olmos-bebidas/OLM-000003.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000004,alambrado cabernet," $6,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168875/olmos-bebidas/OLM-000004.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000005,alambrado mb," $6,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168876/olmos-bebidas/OLM-000005.webp,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000006,Alamos Caber Sauvignon," $6,200.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168878/olmos-bebidas/OLM-000006.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000007,Alamos malbec," $6,200.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168880/olmos-bebidas/OLM-000007.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000008,alaris blanco dulce cosecha," $4,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168882/olmos-bebidas/OLM-000008.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000009,alaris mb," $4,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168883/olmos-bebidas/OLM-000009.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000010,Alaris Rosado," $4,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168885/olmos-bebidas/OLM-000010.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000011,alma mora mb," $5,200.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168887/olmos-bebidas/OLM-000011.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
OLM-000012,alma negra," $22,500.00",si,https://res.cloudinary.com/dd2yi3lfj/image/upload/q_auto/f_auto//v1780168889/olmos-bebidas/OLM-000012.jpg,Vinos y espumantes,1000,,,No,Vinos,Vinos
