SKU,Producto,Categoria Original,Categoria Nueva,Subcategoria
OLM-000001,Vermouth La Fuerza,Vinos,Aperitivos y coctelería,Vermouth
OLM-000628,Cinzano Spritz,Espumantes,Aperitivos y coctelería,Vermouth
OLM-000860,Fernet 450,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000861,fernet branca 1L,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000862,fernet branca 750,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000863,Fernet Branca Limited Edition,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000864,fernet buhero,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000867,Lata fernet 1882,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000868,1882 Fernet,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000869,fernet mini,Licor de Hierbas,Aperitivos y coctelería,Aperitivos
OLM-000927,cynar original,Vermouth,Aperitivos y coctelería,Aperitivos
